Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.47,0.36,0.12,WW2,MW1,0.1055,0.15,Age2
M,0.405,0.31,0.1,WW2,MW1,0.0915,0.11,Age2
F,0.5,0.4,0.14,WW2,MW2,0.1755,0.22,Age2
M,0.445,0.35,0.12,WW2,MW1,0.0955,0.135,Age2
M,0.47,0.385,0.135,WW2,MW2,0.12,0.17,Age2
I,0.245,0.19,0.06,WW1,MW1,0.014,0.025,Age1
F,0.505,0.4,0.125,WW2,MW2,0.13,0.175,Age2
M,0.45,0.345,0.105,WW2,MW1,0.1125,0.135,Age2
M,0.505,0.405,0.11,WW2,MW2,0.16,0.175,Age2
F,0.53,0.41,0.13,WW2,MW2,0.1935,0.2,Age2
M,0.425,0.325,0.095,WW2,MW1,0.08,0.1,Age2
M,0.52,0.4,0.12,WW2,MW2,0.1315,0.185,Age2
M,0.475,0.355,0.12,WW2,MW2,0.1015,0.135,Age2
F,0.565,0.44,0.16,WW3,MW2,0.1935,0.32,Age2
F,0.595,0.495,0.185,WW3,MW2,0.224,0.485,Age3
F,0.475,0.39,0.12,WW2,MW1,0.1155,0.17,Age2
I,0.31,0.235,0.07,WW1,MW1,0.0405,0.045,Age2
M,0.555,0.425,0.13,WW3,MW2,0.168,0.275,Age3
F,0.4,0.32,0.11,WW2,MW1,0.0985,0.1,Age2
F,0.595,0.475,0.17,WW3,MW2,0.225,0.425,Age4
M,0.57,0.48,0.175,WW3,MW2,0.261,0.38,Age2
F,0.605,0.45,0.195,WW3,MW2,0.2895,0.315,Age3
F,0.6,0.475,0.15,WW3,MW2,0.221,0.28,Age3
M,0.595,0.475,0.14,WW3,MW2,0.189,0.315,Age2
F,0.6,0.47,0.15,WW3,MW2,0.194,0.305,Age2
F,0.555,0.425,0.14,WW3,MW2,0.1595,0.285,Age2
F,0.615,0.475,0.17,WW3,MW2,0.2355,0.345,Age3
F,0.575,0.445,0.14,WW3,MW2,0.252,0.285,Age2
M,0.62,0.51,0.175,WW4,MW3,0.192,0.675,Age2
F,0.52,0.425,0.165,WW3,MW2,0.225,0.32,Age3
M,0.595,0.475,0.16,WW3,MW2,0.234,0.58,Age4
M,0.58,0.45,0.14,WW3,MW2,0.216,0.36,Age3
F,0.57,0.465,0.18,WW3,MW2,0.2225,0.44,Age2
M,0.625,0.465,0.14,WW3,MW2,0.205,0.4,Age3
M,0.56,0.44,0.16,WW3,MW2,0.2075,0.26,Age2
F,0.46,0.355,0.13,WW2,MW1,0.114,0.165,Age2
F,0.575,0.45,0.16,WW3,MW2,0.231,0.33,Age2
M,0.565,0.425,0.135,WW3,MW2,0.1675,0.255,Age3
M,0.555,0.44,0.15,WW3,MW2,0.1525,0.26,Age2
M,0.595,0.465,0.175,WW3,MW2,0.254,0.39,Age3
F,0.625,0.495,0.165,WW3,MW3,0.318,0.39,Age2
M,0.695,0.56,0.19,WW4,MW3,0.3425,0.485,Age3
M,0.665,0.535,0.195,WW4,MW3,0.388,0.48,Age3
M,0.535,0.435,0.15,WW3,MW2,0.1385,0.25,Age2
M,0.47,0.375,0.13,WW2,MW1,0.132,0.145,Age2
M,0.47,0.37,0.13,WW2,MW1,0.133,0.165,Age2
F,0.475,0.375,0.125,WW2,MW2,0.085,0.155,Age2
I,0.36,0.265,0.095,WW1,MW1,0.046,0.075,Age2
M,0.55,0.435,0.145,WW3,MW2,0.1915,0.255,Age3
M,0.53,0.435,0.16,WW3,MW2,0.164,0.335,Age3
M,0.53,0.415,0.14,WW3,MW2,0.1675,0.205,Age2
M,0.605,0.47,0.16,WW3,MW2,0.2405,0.345,Age2
F,0.52,0.41,0.155,WW3,MW2,0.1835,0.235,Age2
F,0.545,0.43,0.165,WW3,MW2,0.183,0.28,Age2
F,0.5,0.4,0.125,WW2,MW2,0.1315,0.22,Age2
F,0.51,0.39,0.135,WW2,MW2,0.179,0.2,Age2
F,0.435,0.395,0.105,WW2,MW1,0.098,0.13,Age2
M,0.495,0.395,0.125,WW2,MW2,0.1345,0.155,Age2
M,0.465,0.36,0.105,WW2,MW1,0.107,0.175,Age2
I,0.435,0.32,0.08,WW2,MW1,0.0635,0.105,Age2
M,0.425,0.35,0.105,WW2,MW1,0.063,0.165,Age2
F,0.545,0.41,0.125,WW2,MW2,0.146,0.21,Age2
F,0.53,0.415,0.115,WW2,MW2,0.1585,0.18,Age2
F,0.49,0.375,0.135,WW2,MW2,0.102,0.22,Age2
M,0.44,0.34,0.105,WW2,MW1,0.0955,0.165,Age2
F,0.56,0.43,0.15,WW3,MW2,0.172,0.31,Age2
M,0.405,0.305,0.085,WW1,MW1,0.0595,0.085,Age2
F,0.47,0.365,0.105,WW2,MW1,0.1035,0.14,Age2
I,0.385,0.295,0.085,WW1,MW1,0.0575,0.085,Age2
F,0.515,0.425,0.14,WW3,MW2,0.1725,0.255,Age3
M,0.37,0.265,0.075,WW1,MW1,0.051,0.07,Age2
I,0.36,0.28,0.08,WW1,MW1,0.0505,0.07,Age2
I,0.27,0.195,0.06,WW1,MW1,0.0235,0.03,Age2
I,0.375,0.275,0.09,WW1,MW1,0.0545,0.07,Age2
I,0.385,0.29,0.085,WW1,MW1,0.061,0.08,Age2
M,0.7,0.535,0.16,WW4,MW3,0.2635,0.54,Age4
M,0.71,0.54,0.165,WW4,MW3,0.261,0.78,Age4
M,0.595,0.48,0.165,WW3,MW2,0.283,0.41,Age4
F,0.44,0.35,0.125,WW2,MW1,0.063,0.129,Age2
F,0.325,0.26,0.09,WW1,MW1,0.036,0.062,Age2
I,0.35,0.26,0.095,WW1,MW1,0.056,0.068,Age2
I,0.265,0.2,0.065,WW1,MW1,0.0205,0.028,Age2
F,0.425,0.33,0.115,WW2,MW1,0.081,0.1355,Age2
F,0.305,0.23,0.08,WW1,MW1,0.0345,0.048,Age2
M,0.345,0.255,0.09,WW1,MW1,0.0295,0.063,Age2
F,0.405,0.325,0.11,WW2,MW1,0.063,0.117,Age2
M,0.375,0.285,0.095,WW1,MW1,0.0575,0.0925,Age2
F,0.565,0.445,0.155,WW3,MW2,0.2055,0.2475,Age2
F,0.55,0.45,0.145,WW3,MW2,0.1435,0.2665,Age2
M,0.65,0.52,0.19,WW3,MW3,0.306,0.4465,Age3
M,0.56,0.455,0.155,WW3,MW2,0.19,0.2425,Age2
M,0.475,0.375,0.13,WW2,MW1,0.1165,0.17,Age2
F,0.49,0.38,0.125,WW2,MW2,0.1075,0.174,Age2
M,0.46,0.35,0.12,WW2,MW1,0.108,0.1565,Age2
I,0.28,0.205,0.08,WW1,MW1,0.039,0.042,Age2
I,0.175,0.13,0.055,WW1,MW1,0.0065,0.0125,Age2
I,0.17,0.13,0.095,WW1,MW1,0.008,0.01,Age1
M,0.59,0.475,0.145,WW3,MW2,0.262,0.325,Age3
F,0.605,0.5,0.185,WW3,MW2,0.2585,0.335,Age2
F,0.635,0.515,0.19,WW3,MW3,0.305,0.45,Age2
F,0.605,0.485,0.16,WW3,MW2,0.2355,0.355,Age2
F,0.565,0.45,0.135,WW3,MW2,0.1495,0.31,Age2
M,0.515,0.405,0.13,WW3,MW2,0.131,0.21,Age2
F,0.575,0.46,0.19,WW3,MW2,0.2425,0.34,Age3
M,0.645,0.485,0.215,WW4,MW3,0.2615,0.635,Age3
F,0.58,0.455,0.17,WW3,MW2,0.2135,0.285,Age3
F,0.575,0.46,0.165,WW3,MW2,0.1785,0.44,Age3
M,0.605,0.465,0.165,WW3,MW2,0.2475,0.34,Age3
F,0.605,0.485,0.16,WW3,MW3,0.2575,0.28,Age3
M,0.61,0.485,0.175,WW3,MW3,0.297,0.345,Age2
F,0.725,0.56,0.21,WW5,MW3,0.398,1.005,Age4
F,0.65,0.545,0.23,WW4,MW3,0.2895,0.815,Age3
M,0.725,0.57,0.19,WW6,MW5,0.483,0.725,Age3
F,0.725,0.575,0.175,WW5,MW3,0.4515,0.85,Age4
F,0.68,0.57,0.205,WW4,MW3,0.408,0.65,Age4
M,0.705,0.56,0.22,WW4,MW4,0.3085,0.76,Age3
F,0.68,0.515,0.175,WW4,MW3,0.409,0.62,Age2
M,0.695,0.55,0.215,WW4,MW3,0.541,0.59,Age3
F,0.53,0.395,0.145,WW3,MW2,0.169,0.255,Age2
M,0.525,0.435,0.155,WW3,MW2,0.233,0.285,Age2
F,0.52,0.405,0.115,WW3,MW2,0.1845,0.22,Age2
I,0.235,0.16,0.04,WW1,MW1,0.018,0.015,Age2
I,0.36,0.26,0.09,WW1,MW1,0.037,0.075,Age2
I,0.315,0.21,0.06,WW1,MW1,0.0375,0.035,Age2
I,0.315,0.245,0.085,WW1,MW1,0.0475,0.05,Age2
I,0.225,0.16,0.045,WW1,MW1,0.015,0.015,Age1
M,0.58,0.475,0.15,WW3,MW2,0.2165,0.35,Age2
M,0.57,0.48,0.18,WW3,MW2,0.2,0.295,Age3
M,0.64,0.51,0.175,WW3,MW3,0.266,0.57,Age4
F,0.56,0.45,0.16,WW3,MW2,0.268,0.3,Age2
F,0.62,0.475,0.175,WW3,MW2,0.214,0.325,Age2
F,0.645,0.51,0.2,WW4,MW3,0.367,0.46,Age2
M,0.62,0.49,0.19,WW3,MW3,0.2965,0.355,Age3
F,0.63,0.48,0.15,WW3,MW2,0.336,0.285,Age2
F,0.63,0.5,0.185,WW3,MW3,0.3315,0.38,Age2
F,0.63,0.48,0.16,WW3,MW3,0.335,0.315,Age2
F,0.585,0.46,0.17,WW3,MW2,0.271,0.29,Age2
M,0.615,0.48,0.18,WW3,MW2,0.2165,0.325,Age3
M,0.61,0.485,0.17,WW3,MW2,0.2405,0.36,Age2
M,0.58,0.45,0.15,WW3,MW2,0.1815,0.36,Age3
I,0.355,0.275,0.085,WW1,MW1,0.06,0.15,Age2
F,0.51,0.4,0.14,WW3,MW2,0.1965,0.195,Age2
M,0.5,0.405,0.155,WW3,MW2,0.1535,0.245,Age2
F,0.505,0.41,0.15,WW2,MW2,0.145,0.21,Age2
M,0.64,0.5,0.185,WW3,MW2,0.2635,0.465,Age3
M,0.56,0.45,0.16,WW3,MW2,0.178,0.26,Age3
M,0.585,0.46,0.185,WW3,MW2,0.213,0.285,Age2
F,0.45,0.345,0.12,WW2,MW1,0.095,0.135,Age2
M,0.5,0.4,0.165,WW3,MW2,0.205,0.285,Age3
F,0.5,0.4,0.145,WW2,MW2,0.1465,0.23,Age2
F,0.53,0.435,0.17,WW3,MW2,0.155,0.275,Age3
M,0.42,0.335,0.115,WW2,MW1,0.071,0.12,Age2
F,0.44,0.34,0.14,WW2,MW1,0.1085,0.16,Age2
I,0.4,0.3,0.11,WW2,MW1,0.067,0.12,Age2
I,0.435,0.34,0.11,WW2,MW1,0.085,0.12,Age2
F,0.525,0.415,0.17,WW3,MW2,0.1685,0.31,Age3
I,0.37,0.28,0.095,WW1,MW1,0.052,0.08,Age2
F,0.49,0.365,0.145,WW2,MW1,0.1625,0.22,Age2
M,0.335,0.25,0.09,WW1,MW1,0.0415,0.06,Age2
F,0.415,0.325,0.105,WW2,MW1,0.0785,0.12,Age2
M,0.5,0.405,0.14,WW2,MW2,0.1355,0.205,Age2
F,0.485,0.395,0.16,WW2,MW2,0.128,0.235,Age3
M,0.55,0.405,0.14,WW3,MW2,0.1635,0.255,Age2
M,0.45,0.35,0.13,WW2,MW1,0.111,0.135,Age2
I,0.405,0.3,0.12,WW2,MW1,0.07,0.11,Age2
M,0.47,0.36,0.135,WW2,MW1,0.115,0.165,Age2
F,0.415,0.305,0.13,WW2,MW1,0.0755,0.105,Age2
F,0.445,0.325,0.125,WW2,MW1,0.1125,0.14,Age2
F,0.47,0.35,0.145,WW2,MW1,0.1235,0.18,Age2
F,0.49,0.375,0.15,WW2,MW1,0.144,0.19,Age2
F,0.445,0.355,0.15,WW2,MW1,0.125,0.155,Age2
I,0.425,0.38,0.105,WW2,MW1,0.0785,0.1,Age2
F,0.5,0.37,0.135,WW2,MW1,0.1055,0.155,Age2
F,0.39,0.29,0.125,WW2,MW1,0.082,0.09,Age2
I,0.365,0.27,0.085,WW1,MW1,0.0485,0.07,Age2
F,0.58,0.465,0.165,WW3,MW2,0.2095,0.35,Age2
F,0.53,0.415,0.16,WW3,MW2,0.158,0.245,Age3
M,0.555,0.445,0.135,WW3,MW2,0.1625,0.275,Age3
M,0.565,0.44,0.175,WW3,MW2,0.193,0.325,Age3
M,0.625,0.505,0.215,WW3,MW2,0.287,0.435,Age4
I,0.275,0.215,0.075,WW1,MW1,0.029,0.035,Age2
I,0.44,0.35,0.135,WW2,MW1,0.083,0.125,Age2
I,0.295,0.225,0.08,WW1,MW1,0.032,0.04,Age2
I,0.075,0.055,0.01,WW1,MW1,0.0005,0.0015,Age1
I,0.13,0.1,0.03,WW1,MW1,0.003,0.004,Age1
I,0.11,0.09,0.03,WW1,MW1,0.002,0.003,Age1
I,0.16,0.12,0.035,WW1,MW1,0.0045,0.005,Age2
M,0.565,0.425,0.16,WW3,MW2,0.2185,0.275,Age4
I,0.27,0.2,0.07,WW1,MW1,0.0245,0.035,Age2
I,0.23,0.175,0.065,WW1,MW1,0.0105,0.02,Age2
I,0.3,0.23,0.08,WW1,MW1,0.0265,0.04,Age2
I,0.33,0.255,0.085,WW1,MW1,0.039,0.06,Age2
I,0.35,0.26,0.085,WW1,MW1,0.0345,0.06,Age2
I,0.32,0.245,0.08,WW1,MW1,0.0325,0.05,Age3
I,0.36,0.275,0.085,WW1,MW1,0.0415,0.07,Age2
I,0.305,0.245,0.075,WW1,MW1,0.038,0.045,Age2
I,0.345,0.27,0.11,WW1,MW1,0.0545,0.07,Age2
I,0.33,0.25,0.105,WW1,MW1,0.035,0.06,Age2
M,0.59,0.47,0.18,WW3,MW2,0.2805,0.36,Age3
F,0.595,0.455,0.155,WW3,MW3,0.2165,0.3,Age2
F,0.575,0.46,0.185,WW3,MW2,0.217,0.345,Age3
M,0.6,0.495,0.165,WW3,MW2,0.2775,0.34,Age3
M,0.56,0.45,0.175,WW3,MW2,0.2065,0.37,Age3
M,0.56,0.45,0.185,WW3,MW2,0.175,0.41,Age4
M,0.545,0.46,0.16,WW3,MW2,0.1655,0.345,Age2
F,0.635,0.505,0.17,WW3,MW3,0.297,0.365,Age3
F,0.59,0.475,0.16,WW3,MW2,0.2555,0.295,Age3
F,0.54,0.475,0.155,WW3,MW2,0.194,0.26,Age2
F,0.57,0.44,0.125,WW3,MW2,0.1725,0.27,Age2
M,0.53,0.42,0.165,WW3,MW2,0.239,0.245,Age2
I,0.245,0.195,0.06,WW1,MW1,0.0245,0.026,Age1
M,0.27,0.2,0.08,WW1,MW1,0.028,0.04,Age2
F,0.46,0.38,0.13,WW2,MW2,0.1525,0.16,Age2
M,0.52,0.45,0.15,WW3,MW2,0.186,0.235,Age3
M,0.35,0.275,0.11,WW2,MW1,0.0635,0.0905,Age2
M,0.47,0.39,0.15,WW2,MW1,0.0885,0.255,Age2
F,0.45,0.36,0.125,WW2,MW1,0.1,0.17,Age3
F,0.64,0.525,0.215,WW4,MW2,0.2855,0.55,Age4
M,0.59,0.5,0.2,WW3,MW2,0.2705,0.37,Age3
M,0.62,0.485,0.205,WW3,MW2,0.2505,0.385,Age3
M,0.63,0.505,0.225,WW4,MW3,0.3335,0.45,Age3
M,0.63,0.515,0.155,WW3,MW2,0.197,0.41,Age3
M,0.655,0.54,0.215,WW4,MW3,0.327,0.585,Age4
F,0.66,0.53,0.185,WW3,MW2,0.245,0.49,Age2
M,0.61,0.5,0.24,WW4,MW3,0.3345,0.69,Age4
M,0.635,0.525,0.205,WW4,MW3,0.3115,0.43,Age4
F,0.515,0.425,0.135,WW2,MW2,0.1605,0.25,Age2
F,0.535,0.415,0.185,WW3,MW2,0.1585,0.3,Age3
I,0.36,0.285,0.105,WW1,MW1,0.057,0.075,Age2
F,0.455,0.355,0.12,WW2,MW1,0.104,0.15,Age2
M,0.485,0.395,0.14,WW2,MW2,0.127,0.225,Age3
M,0.515,0.38,0.175,WW3,MW2,0.158,0.31,Age3
F,0.535,0.415,0.17,WW3,MW2,0.1965,0.285,Age2
M,0.53,0.435,0.155,WW2,MW2,0.1595,0.205,Age2
F,0.495,0.4,0.155,WW2,MW2,0.1325,0.205,Age4
M,0.44,0.355,0.125,WW2,MW1,0.0815,0.19,Age2
F,0.535,0.435,0.16,WW3,MW2,0.1795,0.24,Age2
M,0.54,0.435,0.18,WW3,MW2,0.226,0.325,Age4
F,0.565,0.505,0.21,WW3,MW2,0.279,0.355,Age2
M,0.61,0.475,0.165,WW3,MW2,0.2205,0.315,Age3
F,0.565,0.455,0.175,WW3,MW2,0.207,0.35,Age4
M,0.6,0.495,0.195,WW3,MW2,0.19,0.375,Age6
I,0.295,0.215,0.085,WW1,MW1,0.034,0.04,Age2
I,0.275,0.205,0.075,WW1,MW1,0.0285,0.035,Age2
I,0.28,0.21,0.085,WW1,MW1,0.0295,0.03,Age1
M,0.49,0.395,0.14,WW2,MW1,0.1275,0.15,Age2
M,0.37,0.28,0.105,WW1,MW1,0.0585,0.075,Age2
F,0.405,0.305,0.095,WW2,MW1,0.0895,0.1,Age2
F,0.54,0.435,0.175,WW3,MW2,0.174,0.335,Age3
M,0.37,0.28,0.1,WW1,MW1,0.0595,0.074,Age2
M,0.36,0.27,0.1,WW1,MW1,0.0495,0.0715,Age2
F,0.47,0.36,0.13,WW2,MW1,0.114,0.15,Age2
I,0.2,0.145,0.06,WW1,MW1,0.0095,0.011,Age1
I,0.165,0.12,0.03,WW1,MW1,0.005,0.005,Age1
M,0.645,0.515,0.24,WW4,MW2,0.369,0.535,Age3
M,0.55,0.41,0.125,WW3,MW2,0.1635,0.195,Age3
M,0.57,0.435,0.145,WW3,MW2,0.2355,0.275,Age2
F,0.63,0.485,0.19,WW3,MW2,0.3055,0.39,Age4
M,0.56,0.44,0.14,WW3,MW2,0.2045,0.265,Age3
M,0.595,0.455,0.195,WW3,MW2,0.3235,0.345,Age4
F,0.62,0.47,0.2,WW3,MW2,0.27,0.435,Age5
M,0.63,0.485,0.175,WW3,MW2,0.2945,0.46,Age5
I,0.45,0.355,0.11,WW2,MW1,0.067,0.14,Age2
F,0.635,0.535,0.19,WW3,MW3,0.2475,0.39,Age3
M,0.45,0.35,0.1,WW2,MW1,0.1015,0.12,Age2
F,0.58,0.455,0.155,WW3,MW2,0.1385,0.32,Age4
I,0.33,0.255,0.095,WW1,MW1,0.0255,0.06,Age2
I,0.265,0.21,0.06,WW1,MW1,0.022,0.03,Age2
I,0.19,0.145,0.04,WW1,MW1,0.0065,0.015,Age1
M,0.385,0.31,0.1,WW1,MW1,0.075,0.1,Age2
I,0.265,0.205,0.07,WW1,MW1,0.041,0.035,Age2
M,0.335,0.265,0.105,WW1,MW1,0.056,0.075,Age2
I,0.355,0.275,0.09,WW1,MW1,0.053,0.08,Age2
I,0.32,0.255,0.1,WW1,MW1,0.0415,0.065,Age2
M,0.51,0.4,0.13,WW2,MW2,0.1665,0.205,Age2
M,0.36,0.295,0.105,WW1,MW1,0.053,0.095,Age2
I,0.36,0.28,0.09,WW1,MW1,0.04,0.09,Age2
M,0.5,0.38,0.155,WW2,MW1,0.161,0.2,Age2
F,0.4,0.325,0.12,WW2,MW1,0.0565,0.095,Age2
I,0.3,0.22,0.08,WW1,MW1,0.042,0.035,Age2
I,0.235,0.175,0.04,WW1,MW1,0.015,0.02,Age2
F,0.74,0.6,0.195,WW4,MW3,0.4085,0.71,Age3
M,0.62,0.465,0.19,WW3,MW3,0.3175,0.355,Age2
M,0.6,0.475,0.19,WW3,MW2,0.2655,0.325,Age3
M,0.59,0.45,0.185,WW3,MW2,0.276,0.425,Age3
M,0.62,0.475,0.185,WW3,MW3,0.325,0.33,Age3
F,0.565,0.45,0.195,WW3,MW2,0.2505,0.285,Age3
M,0.575,0.455,0.145,WW3,MW3,0.2275,0.3,Age3
F,0.62,0.51,0.205,WW3,MW2,0.2565,0.48,Age3
M,0.62,0.465,0.185,WW3,MW3,0.3065,0.32,Age2
F,0.505,0.375,0.18,WW2,MW2,0.1495,0.17,Age2
F,0.46,0.425,0.155,WW3,MW2,0.152,0.24,Age2
M,0.49,0.39,0.14,WW2,MW2,0.2185,0.18,Age3
F,0.525,0.42,0.16,WW3,MW2,0.173,0.275,Age2
I,0.34,0.26,0.08,WW1,MW1,0.0555,0.055,Age2
I,0.375,0.305,0.115,WW1,MW1,0.074,0.09,Age2
M,0.61,0.48,0.15,WW3,MW3,0.2455,0.28,Age3
F,0.61,0.495,0.185,WW3,MW3,0.2905,0.245,Age2
F,0.585,0.45,0.17,WW3,MW2,0.1635,0.27,Age4
M,0.57,0.46,0.14,WW3,MW2,0.2065,0.245,Age2
M,0.58,0.455,0.17,WW3,MW2,0.259,0.22,Age2
M,0.635,0.515,0.17,WW3,MW3,0.286,0.34,Age3
M,0.7,0.58,0.205,WW5,MW3,0.49,0.58,Age4
M,0.675,0.525,0.185,WW4,MW3,0.336,0.395,Age3
F,0.645,0.525,0.19,WW4,MW3,0.3885,0.395,Age4
M,0.745,0.585,0.215,WW6,MW4,0.472,0.7,Age4
F,0.685,0.545,0.18,WW4,MW3,0.392,0.485,Age3
M,0.605,0.49,0.18,WW3,MW2,0.287,0.35,Age4
F,0.59,0.465,0.15,WW3,MW2,0.246,0.34,Age2
F,0.65,0.525,0.175,WW3,MW3,0.2995,0.445,Age4
F,0.6,0.48,0.15,WW3,MW2,0.2705,0.295,Age3
F,0.62,0.5,0.175,WW3,MW2,0.3015,0.35,Age2
M,0.63,0.515,0.16,WW3,MW2,0.244,0.355,Age4
M,0.58,0.465,0.145,WW3,MW2,0.1655,0.265,Age2
F,0.58,0.455,0.12,WW3,MW2,0.2735,0.265,Age2
M,0.63,0.49,0.18,WW3,MW2,0.2765,0.315,Age2
F,0.69,0.56,0.215,WW4,MW3,0.299,0.47,Age4
F,0.65,0.545,0.165,WW4,MW3,0.3455,0.415,Age3
F,0.66,0.565,0.195,WW4,MW3,0.3265,0.5,Age3
F,0.68,0.58,0.2,WW4,MW3,0.453,0.6,Age4
F,0.7,0.575,0.17,WW3,MW3,0.314,0.42,Age3
M,0.685,0.52,0.15,WW3,MW2,0.292,0.4,Age3
F,0.675,0.545,0.195,WW4,MW3,0.3695,0.605,Age4
M,0.63,0.49,0.19,WW3,MW2,0.3365,0.285,Age2
F,0.585,0.45,0.16,WW3,MW2,0.2875,0.25,Age2
M,0.565,0.465,0.175,WW3,MW2,0.183,0.37,Age3
F,0.61,0.495,0.185,WW3,MW2,0.3135,0.33,Age2
M,0.605,0.47,0.18,WW3,MW2,0.2805,0.385,Age3
M,0.535,0.42,0.145,WW3,MW2,0.189,0.25,Age2
M,0.485,0.4,0.135,WW2,MW2,0.137,0.2,Age2
M,0.47,0.375,0.12,WW2,MW1,0.122,0.195,Age2
M,0.545,0.425,0.135,WW3,MW2,0.21,0.235,Age2
F,0.455,0.37,0.105,WW2,MW1,0.1245,0.135,Age2
M,0.54,0.42,0.155,WW3,MW2,0.152,0.215,Age2
M,0.46,0.38,0.135,WW2,MW1,0.1225,0.145,Age2
M,0.49,0.42,0.125,WW2,MW2,0.1435,0.22,Age3
I,0.465,0.375,0.12,WW2,MW1,0.119,0.14,Age2
I,0.415,0.325,0.1,WW2,MW1,0.0595,0.105,Age2
M,0.475,0.375,0.125,WW2,MW2,0.115,0.18,Age2
F,0.47,0.375,0.125,WW2,MW2,0.137,0.18,Age2
I,0.365,0.295,0.095,WW1,MW1,0.0545,0.08,Age2
I,0.345,0.275,0.095,WW1,MW1,0.0535,0.07,Age2
I,0.39,0.31,0.1,WW2,MW1,0.064,0.115,Age2
F,0.5,0.395,0.14,WW2,MW2,0.176,0.24,Age2
M,0.47,0.38,0.145,WW2,MW2,0.144,0.185,Age2
M,0.535,0.44,0.15,WW2,MW2,0.139,0.26,Age2
M,0.585,0.455,0.15,WW3,MW2,0.2075,0.31,Age2
F,0.485,0.365,0.12,WW2,MW2,0.131,0.175,Age2
M,0.515,0.455,0.135,WW3,MW2,0.1625,0.235,Age2
